Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate,delta_enthalpy
@C,BULKSWAP,NAN,#C,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2,BULKSWAP,NAN,#C2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2H,BULKSWAP,NAN,#C2H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2H2,BULKSWAP,NAN,#C2H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2H3,BULKSWAP,NAN,#C2H3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2H4,BULKSWAP,NAN,#C2H4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2H5,BULKSWAP,NAN,#C2H5,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C2N,BULKSWAP,NAN,#C2N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C3H2,BULKSWAP,NAN,#C3H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C3N,BULKSWAP,NAN,#C3N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C4H,BULKSWAP,NAN,#C4H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@C4N,BULKSWAP,NAN,#C4N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH,BULKSWAP,NAN,#CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH2,BULKSWAP,NAN,#CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH2CO,BULKSWAP,NAN,#CH2CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH2OH,BULKSWAP,NAN,#CH2OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH3,BULKSWAP,NAN,#CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH3CCH,BULKSWAP,NAN,#CH3CCH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
@CH3CHO,BULKSWAP,NAN,#CH3CHO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False,0.0
